Класс,Специализация,Роль,Парсов,Игроков,Боев,Боссов,Надёжность,Медиана DPS,P75 DPS,P90 DPS,Медиана HPS,P75 HPS,Медиана DTPS,Смертность,Выживаемость,Сглаженная метрика,Предв. балл роли,Покрытие экипировки,Медиана ilvl
Primalist,Geomancy,dps,26,8,26,6,0.5652173913043478,3225.9685,4420.45675,5305.5795,52.8835,590.6510000000001,127.9385,0,1,3673.1904975917582,3673.1904975917582,0.15384615384615385,63.879999999999995
Runemaster,Glyphic,dps,66,26,59,6,0.7674418604651163,3734.6525,4856.98975,5252.796,4.2545,16.78475,93.9665,0.15151515151515152,1,3855.565661502568,3621.8950153508977,0.22727272727272727,60.33
Reaper,Harvest,dps,151,55,116,6,0.8830409356725146,3534.287,4315.0015,5046.991,110.16,143.34550000000002,216.7,0,1,3618.531689410648,3618.531689410648,0.271523178807947,59.65
Necromancer,Rime,dps,56,17,56,6,0.7368421052631579,3586.0055,4501.853499999999,5868.687,21.595,58.7205,80.25399999999999,0.10714285714285714,1,3761.945919595011,3600.7196658980824,0.25,56.5
Witch Hunter,Boltslinger,dps,28,14,28,6,0.5833333333333334,3371.562,4340.044,5525.512900000001,6.064500000000001,14.770249999999999,103.384,0.10714285714285714,1,3739.4857893587678,3579.2221126719637,0.2857142857142857,60.44
Bloodmage,Sanguine,dps,34,12,33,6,0.6296296296296297,3499.1014999999998,4346.780000000001,6708.129799999998,175.4315,217.57275,153.0775,0.17647058823529413,1,3778.908016467053,3512.1615682458496,0.35294117647058826,60.31
Starcaller,Warden,dps,160,57,106,6,0.8888888888888888,3515.044,4630.21675,5811.391699999999,11.198,26.2675,173.08100000000002,0.1,1,3597.214566051227,3453.3259834091778,0.25625,61.63
Reaper,Domination,dps,6,5,6,5,0.23076923076923078,1572.5135,2095.9485,3042.4300000000003,159.6085,199.72,321.5745,0.16666666666666666,1,3635.6408803546487,3393.264821664339,0.16666666666666666,46.56
Ranger,Brigand,dps,9,4,9,4,0.3103448275862069,1945.975,2629.018,5339.5102,52.293,1916.596,231.995,0.1111111111111111,1,3538.1157548007195,3380.8661656984655,0.2222222222222222,40.09
Stormbringer,Wind,dps,8,2,8,6,0.2857142857142857,2453.3745,2887.558,3264.8884,318.85699999999997,358.54725,88.2175,0.25,1,3739.9492103293164,3365.954289296385,0.875,60.71
Felsworn,Slayer,dps,37,14,36,6,0.6491228070175439,3227.325,3671.84,4012.3423999999995,73.367,111.32,151.534,0.16216216216216217,1,3587.7650331442255,3355.045139102438,0.1891891891891892,56.67
Pyromancer,Draconic,dps,63,20,61,6,0.7590361445783133,3186.519,4742.001,7395.067400000001,15.02,32.004,112.671,0.07936507936507936,1,3443.8828781833836,3334.553263002959,0.31746031746031744,60.195
Knight of Xoroth,Defiance,dps,11,4,11,4,0.3548387096774194,1641.983,2041.8635,2955.908,32.891,73.15950000000001,257.092,0,1,3327.5288673942214,3327.5288673942214,0.18181818181818182,61.24
Primalist,Mountain King,dps,6,4,6,3,0.23076923076923078,1185.2635,1404.9885,1565.8815,5.7745,121.73075,132.4805,0.16666666666666666,1,3546.275495739264,3309.8571293566465,0.16666666666666666,36
Templar,Oathkeeper,dps,14,5,14,6,0.4117647058823529,1964.0149999999999,2181.04475,4482.729200000003,33.1855,55.181,83.899,0.07142857142857142,1,3311.4056438006137,3216.794053977739,0.42857142857142855,55.72
Guardian,Vanguard,dps,7,3,7,4,0.25925925925925924,815.314,855.9195,901.3922,0.126,69.6235,110.997,0.14285714285714285,1,3362.917773674847,3170.75104375057,0,0
